resp_id,wfh_expect,Job_Clerical or administrative support,"Job_Manufacturing, construction, maintenance, or farming","Job_Professional, managerial, or technical",Job_Sales or service,Workload_increased,Workload_decreased,Increased_productivity,Decreased_productivity,hhveh_harm,age,gender,Number_bedrooms,Race_white,Gradutae_degree,High_income(LessThan_100K),More_income(LMoreThan_35K)
1177,Yes,0,0,1,0,0,0,1,0,2,58,1,3,0,1,0,1
1188,Yes,0,0,1,0,0,0,1,0,1,66,0,2,1,0,0,0
1189,Yes,0,0,0,0,0,0,0,0,0,24,1,3,1,0,1,0
1194,Yes,0,0,1,0,0,0,0,0,1,31,1,3,1,1,0,1
1202,Yes,0,0,0,0,0,0,0,0,0,23,0,2,0,1,1,0
1230,No,0,0,0,0,0,1,0,0,3,36,1,5,1,0,0,0
1233,Yes,0,0,0,0,0,1,0,1,1,30,0,1,1,1,0,0
1236,Yes,1,0,0,0,0,0,0,1,2,43,0,3,1,0,0,0
1240,Yes,0,0,1,0,0,1,0,0,2,34,0,3,1,1,0,0
1245,No,0,0,0,1,0,1,0,0,2,43,0,3,1,1,0,1
1246,Yes,0,0,1,0,0,0,1,0,1,32,0,1,1,0,0,0
1247,No,0,0,1,0,0,1,0,1,1,59,1,0,0,1,0,1
1249,Yes,0,0,1,0,0,1,0,0,2,68,0,3,1,1,0,1
1251,No,0,0,0,1,0,0,0,0,3,24,0,4,1,0,0,1
1254,Yes,0,0,0,1,0,1,0,1,2,36,0,3,1,1,0,1
1257,No,0,0,0,1,0,0,0,1,2,68,1,4,1,1,0,1
1258,Yes,0,0,0,1,1,0,0,1,2,36,1,1,0,1,0,0
1265,Yes,0,0,1,0,0,0,0,0,1,62,0,4,1,1,0,1
1268,No,0,0,0,1,0,0,0,0,2,51,0,4,1,0,0,0
1269,No,0,0,0,1,0,1,0,1,3,50,0,2,1,0,0,1
1271,No,0,0,0,1,0,0,0,0,3,34,0,4,1,0,0,0
1273,Yes,0,0,1,0,1,0,0,0,2,43,1,4,1,1,0,1
1275,No,0,0,1,0,0,0,0,0,4,41,1,4,0,0,0,1
1276,No,0,0,0,1,0,0,0,0,3,62,0,4,1,0,0,1
1286,No,0,0,0,1,1,0,0,0,1,28,0,2,1,0,0,0
1289,No,0,1,0,0,1,0,1,0,4,55,1,3,1,1,0,1
1293,Yes,0,1,0,0,1,0,0,0,2,48,1,3,0,0,0,1
1303,No,0,0,0,0,0,0,0,0,1,71,0,3,1,0,1,0
1305,Yes,1,0,0,0,0,1,0,1,2,64,0,3,1,0,0,0
1306,Yes,0,0,1,0,0,0,0,0,3,50,0,3,1,0,0,1
1315,No,0,0,0,1,0,0,0,0,1,63,0,1,1,0,0,0
1316,No,0,0,1,0,1,0,0,1,2,49,0,3,1,1,0,0
1328,No,0,0,0,1,0,1,0,1,2,65,1,3,1,0,0,0
1333,No,0,0,0,1,0,1,0,1,2,29,0,3,1,0,0,1
1336,No,0,0,0,1,0,1,1,0,1,54,1,3,1,0,0,1
1337,No,0,0,1,0,1,0,0,1,2,56,0,3,1,1,0,0
1341,No,0,0,1,0,1,0,1,0,2,42,0,3,1,1,0,1
1345,No,0,1,0,0,0,0,0,0,2,62,1,3,1,0,0,0
1351,No,0,0,0,1,0,1,0,1,0,53,0,1,1,0,0,0
1352,Yes,0,0,0,1,1,0,0,0,2,58,0,3,1,0,0,1
1353,Yes,0,0,0,1,0,1,0,0,0,70,0,1,1,0,0,0
1355,Yes,0,0,0,0,0,0,0,0,2,36,0,4,1,1,0,1
1356,No,0,0,0,1,0,0,0,0,2,67,0,2,1,0,0,1
1367,No,0,0,0,0,0,0,0,0,3,54,1,3,0,0,0,0
1368,No,0,0,0,1,0,0,0,0,2,33,0,3,1,0,0,0
1370,Yes,0,1,0,0,1,0,0,0,2,32,0,3,1,0,0,0
1372,Yes,0,0,0,0,0,0,0,1,1,38,0,4,1,0,0,0
1378,Yes,0,0,1,0,1,0,0,0,1,62,0,3,1,0,0,1
1382,No,0,0,0,1,0,0,0,0,4,54,0,5,1,0,0,1
1384,No,0,0,0,1,0,0,0,1,3,62,1,4,1,1,0,1
1408,No,0,0,1,0,0,0,0,0,1,82,0,2,1,1,0,1
1409,No,0,0,1,0,0,0,0,0,1,62,0,2,1,0,1,0
1418,Yes,0,0,0,0,0,0,0,0,2,45,0,3,1,1,0,1
1420,No,0,1,0,0,0,0,0,0,3,27,0,3,1,0,0,0
1423,No,0,0,1,0,1,0,0,0,1,69,1,1,1,1,0,0
1424,No,0,0,0,0,0,0,0,0,2,59,0,4,1,0,0,0
1426,No,0,1,0,0,0,0,0,0,1,57,1,5,1,0,0,0
1427,Yes,0,0,1,0,0,0,0,0,2,39,0,3,1,1,0,0
1429,No,0,0,1,0,0,1,0,0,2,58,1,4,0,0,0,1
1431,No,0,0,0,1,0,0,0,0,1,47,0,3,1,0,1,0
1440,Yes,0,0,1,0,0,0,0,1,2,46,0,4,1,1,0,1
1442,No,0,0,0,0,0,0,0,0,1,70,1,2,1,0,0,0
1450,No,0,0,0,0,0,0,0,0,2,37,0,4,0,0,0,0
1453,No,0,0,0,1,1,0,0,0,3,51,0,4,1,1,0,1
1458,Yes,0,0,1,0,0,0,1,0,1,53,0,4,1,0,0,0
1462,Yes,0,0,1,0,0,0,0,0,2,57,0,3,1,1,0,1
1464,No,0,0,0,1,1,0,0,0,3,53,0,3,0,0,0,1
