These questions are asked in the wave 1 of the survey,,,,,,,,resp_id,weight,empl_pre_harm,jobcat_pre_harm,worker_now,student,wfh_pre,wfh_pre_freq,bzvm_pre,workload,wfh_now,wfh_now_days,bzvm_now,prod_change,prod_decr_reason_1,prod_decr_reason_4,prod_decr_reason_5,prod_decr_reason_6,prod_decr_reason_7,prod_decr_reason_9,prod_incr_reason_1,prod_incr_reason_2,prod_incr_reason_3,prod_incr_reason_9_w1b,prod_incr_reason_12_w1b,hhveh_harm,age,gender,bedrooms,hispanic,White/Caucasian,Black/African American,Asian,educ,hhsize,hhincome,income_change,The next questions are asked in the wave 2 of the survey from the same people,,,,,,,,,,,,,wfh_now,wfh_now_days,prod_change,wfh_expect,wfh_freq_exp_w1b,bzvm_exp,enjoy_change_mc_4,enjoy_change_mc_6,enjoy_change_mc_10,enjoy_change_mc_11,enjoy_change_mc_12,enjoy_change_mc_13,negative_impact_4,negative_impact_5,negative_impact_11,
,,,,,,,,11,0.229787549,Employed full time,Something else,yes,No,No,Question not displayed to respondent,A few times/year,"Yes, it has substantially increased",Yes,5,5,Increased somewhat,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Not selected,No commuting time,Variable not available in datasource,Variable not available in datasource,2,44,Male,5,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,4,"$75,000 to $99,999",It has gone down somewhat,,,,,,,,,,,,,,Yes,4,Significantly higher,Yes,A few times/week,Every day,Not selected,Not selected,Spending more time with family,Not selected,Not selected,Not selected,Restricted socialization,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,29,0.13579702,Employed full time,"Professional, managerial, or technical",yes,No,Yes,A few times/week,Every day,"No, it has stayed about the same",Yes,5,5,Decreased somewhat,Not selected,Not selected,Not selected,Not selected,Not selected,There are too many concerns on my mind to be able to focus fully on work,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,1,39,Male,2,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$150,000 to $199,999",It has gone up somewhat,,,,,,,,,,,,,,Yes,5,About the same,Yes,Every day,Every day,Not selected,Taking more walks,Not selected,Not selected,Not selected,A slower pace of life,Restricted socialization,Not selected,Not selected,
,,,,,,,,30,0.069212812,Employed full time,"Professional, managerial, or technical",yes,No,No,Question not displayed to respondent,Never,"No, it has stayed about the same",Yes,2,5,Decreased somewhat,Not selected,Not selected,Difficult to communicate with co-workers,Need equipment or technology not available at home,Lack of comfortable workspace,Not selected,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,4 or more,49,Female,4,No,White/Caucasian,Not selected,Not selected,Some college or technical school,4,"$150,000 to $199,999",It has stayed about the same,,,,,,,,,,,,,,Yes,3,In some ways it is higher and in other ways it is lower,Yes,A few times/week,Every day,Commuting less,Taking more walks,Not selected,Not selected,Not selected,Not selected,Not selected,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,31,0.228028348,Employed full time,"Professional, managerial, or technical",yes,No,Yes,Once/week,A few times/month,"No, it has stayed about the same",Yes,6,5,Decreased somewhat,Not selected,More distractions at home,Difficult to communicate with co-workers,Not selected,Not selected,There are too many concerns on my mind to be able to focus fully on work,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,1,27,Male,1,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$100,000 to $124,999",It has stayed about the same,,,,,,,,,,,,,,Yes,5,Somewhat lower,Yes,A few times/week,A few times/week,Not selected,Taking more walks,Not selected,Cooking at home more often,Not selected,Not selected,Not selected,Travel restrictions and cancelled vacations,"Feeling nervous, anxious, or sad",
,,,,,,,,34,1.050626839,Employed part time,"Professional, managerial, or technical",yes,"Yes, Full-time",Yes,A few times/week,A few times/week,"Yes, it has substantially decreased",Yes,7,5,In some ways it has increased and in other ways it has decreased,Not selected,More distractions at home,Difficult to communicate with co-workers,Not selected,Lack of comfortable workspace,There are too many concerns on my mind to be able to focus fully on work,Not selected,Not selected,No commuting time,Variable not available in datasource,Variable not available in datasource,0,32,Female,7,No,Not selected,Not selected,Asian,Bachelor's degree(s) or some graduate school,1,"$35,000 to $49,999",It has stayed about the same,,,,,,,,,,,,,,Yes,7,In some ways it is higher and in other ways it is lower,Yes,A few times/week,A few times/week,Commuting less,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Travel restrictions and cancelled vacations,"Feeling nervous, anxious, or sad",
,,,,,,,,36,0.114624644,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,1,55,Female,3,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$35,000 to $49,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,
,,,,,,,,38,1.814192195,Employed full time,"Professional, managerial, or technical",yes,No,Yes,Never,A few times/week,"No, it has stayed about the same",Yes,7,5,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,2,39,Male,4,No,Not selected,Black/African American,Not selected,Completed graduate degree(s),3,"$125,000 to $149,999",It has stayed about the same,,,,,,,,,,,,,,Yes,7,Somewhat lower,Yes,A few times/week,Every day,Not selected,Taking more walks,Not selected,Not selected,Not selected,Not selected,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,39,0.422417265,Employed full time,"Professional, managerial, or technical",yes,"Yes, Full-time",Yes,A few times/month,A few times/year,"Yes, it has somewhat decreased",Yes,7,5,Decreased significantly,Not selected,More distractions at home,Not selected,Not selected,Lack of comfortable workspace,There are too many concerns on my mind to be able to focus fully on work,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,0,24,Female,3,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),6,"$25,000 to $34,999",It has stayed about the same,,,,,,,,,,,,,,Yes,5,Somewhat lower,Yes,Once/week,A few times/month,Not selected,Taking more walks,Spending more time with family,Not selected,Not selected,Not selected,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,44,0.023990005,Employed full time,Clerical or administrative support,yes,No,Yes,A few times/month,A few times/week,"No, it has stayed about the same",Yes,5,4,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,2,49,Female,3,Yes,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,2,"$50,000 to $74,999",It has gone down somewhat,,,,,,,,,,,,,,Yes,5,About the same,Yes,Never,Never,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,
,,,,,,,,45,0.23319396,Not employed,Question not displayed to respondent,no,"Yes, Full-time",Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,2,28,Female,2,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,2,"Less than $10,000",It has stayed about the same,,,,,,,,,,,,,,No,,Question not displayed to respondent,No,Question not displayed to respondent,A few times/month,Not selected,Taking more walks,Not selected,Not selected,Not selected,Not selected,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
